,Unnamed: 0,Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
52,52,0,0,0,,,2.0,2.0,,8.3,9.9,11.1,13.4,16.7,11.1,450.0,520.0,650.0,762.0,950.0,694.0,62.0,5951.0,,0.0
53,53,0,0,0,,1.0,2.0,2.0,1.0,9.6,11.3,12.9,13.6,16.3,12.4,520.0,590.0,700.0,950.0,1000.0,738.0,60.0,124.0,,0.0
54,54,0,0,0,,1.0,2.0,2.0,3.0,6.5,6.9,10.3,14.5,16.7,10.7,647.0,769.0,1046.0,1503.0,3200.0,1286.0,120.0,124.0,,0.0
55,55,0,0,0,,3.0,2.0,2.0,4.0,12.1,14.4,16.8,20.6,24.0,16.9,350.0,400.0,440.0,500.0,560.0,452.0,27.0,741.0,,0.0
56,56,0,0,0,,3.0,2.0,2.0,5.0,10.3,11.2,12.7,14.5,17.5,12.9,436.0,490.0,536.0,600.0,680.0,551.0,43.0,1451.0,,0.0
57,57,0,0,0,,3.0,2.0,2.0,6.0,7.5,9.4,10.6,11.7,13.0,10.2,500.0,590.0,658.0,740.0,833.0,669.0,65.0,2451.0,,0.0
58,58,0,0,0,,3.0,2.0,2.0,7.0,7.8,9.5,10.0,11.0,12.6,10.2,610.0,680.0,750.0,900.0,1100.0,814.0,80.0,1060.0,,0.0
59,59,0,0,0,,,3.0,,,8.5,10.0,11.6,14.3,17.4,11.6,476.0,601.0,730.0,955.0,1280.0,811.0,70.0,4087.0,,0.0
60,60,0,0,0,,2.0,3.0,,2.0,7.8,8.9,10.2,12.0,14.2,10.7,650.0,792.0,990.0,1250.0,1429.0,1034.0,96.0,917.0,,0.0
61,61,0,0,0,,2.0,3.0,,8.0,11.6,13.5,16.2,19.1,22.0,16.1,338.0,400.0,450.0,520.0,580.0,461.0,29.0,868.0,,0.0
62,62,0,0,0,,2.0,3.0,,9.0,10.0,11.6,13.9,16.5,18.8,13.7,470.0,545.0,601.0,680.0,730.0,615.0,45.0,1111.0,,0.0
