Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;;Ensemble 2P;10,0;11,6;13,9;16,5;18,8;13,7;470;545;601;680;730;615;45;1111;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;;Ensemble 3P;9,2;10,3;11,3;12,7;14,9;11,6;618;650;740;841;1020;776;67;1191;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;1. Moins de 1 an;;8,8;10,2;12,0;14,9;18,4;12,0;470;600;720;940;1270;815;68;986;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;23;;Estimation directe,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;42;;Estimation directe,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 1P;13,0;13,7;17,6;18,6;20,0;15,8;390;410;464;520;535;465;29;228;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 2P;10,8;12,3;14,0;16,0;18,8;13,9;470;545;605;680;760;622;45;292;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 3P;8,3;10,7;11,6;13,8;14,9;11,8;535;650;700;850;1038;761;65;259;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 4P+;7,6;9,0;10,0;10,8;12,6;10,4;662;780;900;1080;1250;929;89;142;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;2. 1 an et plus;;8,5;9,8;11,4;13,9;17,1;11,4;484;613;730;990;1280;809;71;3101;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;2. 1 an et plus;Maison 1-3P;11,8;12,0;14,2;15,0;15,5;13,2;711;750;847;1200;1200;923;70;62;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;2. 1 an et plus;Maison 4P+;8,0;8,5;10,2;12,0;14,7;10,6;800;860;1100;1280;1350;1092;103;207;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;3. Entre 1971-1990;2. 1 an et plus;Appart 1P;11,6;13,0;16,1;19,3;22,2;16,2;325;385;450;520;580;459;28;637;;Estimation directe
