,Observatory,Data_year,agglomeration,Type_habitat,epoque_construction_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,methodologie_production
1919,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1971-1990,Appart 3P,6.8,7.6,8.6,9.8,10.4,8.7,476.0,520.0,610.0,655.0,720.0,603.0,70.0,197.0,Estimation directe
1920,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1971-1990,Appart 4P+,6.0,6.6,7.5,8.5,9.2,7.6,480.0,560.0,700.0,800.0,900.0,685.0,90.0,144.0,Estimation directe
1921,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1971-1990,,7.5,8.6,10.3,12.6,14.3,9.6,320.0,390.0,480.0,560.0,750.0,506.0,53.0,218.0,Estimation directe
1922,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1971-1990,,6.9,8.2,9.7,11.4,14.3,9.2,358.0,410.0,485.0,600.0,720.0,517.0,56.0,676.0,Estimation directe
1923,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1991-2005,,7.7,8.9,10.5,11.9,12.7,9.8,370.0,460.0,530.0,655.0,754.0,559.0,57.0,875.0,Estimation directe
1924,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1991-2005,Appart 1P,10.1,11.9,12.0,14.4,16.8,12.6,300.0,308.0,340.0,370.0,400.0,344.0,27.0,116.0,Estimation directe
1925,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1991-2005,Appart 2P,9.2,10.3,11.1,12.4,12.7,11.0,422.0,460.0,500.0,530.0,570.0,492.0,45.0,438.0,Estimation directe
1926,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1991-2005,Appart 3P,6.7,7.6,9.5,10.4,11.4,8.9,500.0,530.0,600.0,690.0,741.0,602.0,68.0,242.0,Estimation directe
1927,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1991-2005,Appart 4P+,7.8,7.8,8.8,9.8,10.2,8.7,700.0,721.0,740.0,870.0,982.0,820.0,94.0,79.0,Estimation directe
1928,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1991-2005,,8.7,9.7,10.6,11.8,12.0,10.2,370.0,450.0,535.0,626.0,870.0,571.0,56.0,239.0,Estimation directe
1929,B3000,2020,Agglomération de Nîmes,Appartement,Entre 1991-2005,,7.6,8.8,10.4,12.0,12.7,9.6,366.0,460.0,513.0,672.0,740.0,554.0,58.0,636.0,Estimation directe
1930,B3000,2020,Agglomération de Nîmes,Appartement,Après 2005,,7.9,9.1,10.6,12.0,13.0,9.9,400.0,481.0,565.0,658.0,730.0,573.0,58.0,1459.0,Estimation directe
1931,B3000,2020,Agglomération de Nîmes,Appartement,Après 2005,Appart 1P,8.1,8.8,11.6,13.2,13.9,11.0,311.0,350.0,350.0,401.0,410.0,366.0,33.0,124.0,Estimation directe
1932,B3000,2020,Agglomération de Nîmes,Appartement,Après 2005,Appart 2P,10.0,10.8,11.7,12.3,13.3,11.5,430.0,473.0,520.0,538.0,590.0,506.0,44.0,688.0,Estimation directe
1933,B3000,2020,Agglomération de Nîmes,Appartement,Après 2005,Appart 3P,7.5,8.9,9.9,10.7,11.8,9.6,529.0,609.0,650.0,690.0,730.0,639.0,67.0,541.0,Estimation directe
1934,B3000,2020,Agglomération de Nîmes,Appartement,Après 2005,Appart 4P+,5.5,6.4,8.3,9.2,10.5,7.7,570.0,680.0,751.0,814.0,935.0,764.0,100.0,106.0,Estimation directe
1935,B3000,2020,Agglomération de Nîmes,Appartement,Après 2005,,8.8,9.5,10.8,12.0,13.3,10.3,430.0,495.0,600.0,670.0,730.0,586.0,57.0,407.0,Estimation directe
